recipe_id,recipe_name,local_path,source_url,status
1,KOSHARI,,,no_url
2,PARTY JOLLOF RICE,,,no_url
3,NIGERIAN RED STEW,,,no_url
4,MAAFE,,,no_url
5,EGUSI SOUP,,,no_url
6,YASSA,,,no_url
7,SUYA,,,no_url
8,EWA OLOYIN,,,no_url
9,PLANTAIN FRITTATA,,,no_url
10,MUM’S CORNED BEEF AND SPINACH STEW,,,no_url
11,GRILLED TILAPIA WITH GINGER-PEPPER MARINADE,,,no_url
12,GOOD-FOR-THE-SOUL NIGERIAN PEPPER SOUP,,,no_url
13,BUCHI’S OKRA SOUP,,,no_url
14,SPICY NIGERIAN OMELET,,,no_url
15,PILI PILI,,,no_url
16,PLANTAIN CHIPS,,,no_url
17,BOULETTES DE POISSON,,,no_url
18,TATALE,,,no_url
19,CHIN CHIN,,,no_url
20,ERAN PAII,,,no_url
21,"SCOTCH EGG, NIGERIAN-STYLE",,,no_url
22,NIGERIAN SALAD,,,no_url
23,AKARA,,,no_url
24,MUM’S MOIN MOIN,,,no_url
25,KOKI,,,no_url
26,AFRICAN YAM FRIES,,,no_url
27,PUFF PUFF,,,no_url
28,KUNNU AYA,,,no_url
29,DORO WOT,,,no_url
30,TSEBHI BIRSEN,,,no_url
31,BEEF SAMOSAS,,,no_url
32,MUAMBA DE GALINHA,,,no_url
33,PILAU,,,no_url
34,MTUZI WA SAMAKI,,,no_url
35,SUPU VIAZI,,,no_url
37,BHAJIAS,,,no_url
38,AUNTY BERNIE’S CHAPATI,,,no_url
40,SUMMERTIME MANGO LEMONADE,,,no_url
41,VITUMBUA,,,no_url
42,MANDAZI,,,no_url
43,HARISSA GRILLED CHICKEN,,,no_url
44,SHAKSHUKA,,,no_url
45,NORTH AFRICAN MEATBALLS,,,no_url
46,MOROCCAN-SPICED LAMB CHOPS,,,no_url
47,LEBLEBI,,,no_url
49,ONE-POT NORTH AFRICAN CHICKEN AND RICE,,,no_url
50,MOROCCAN-SPICED VEGGIE COUSCOUS,,,no_url
51,MAAQUODA,,,no_url
52,NORTH AFRICAN POTATO SALAD WITH RAS EL HANOUT,,,no_url
53,AISH BALADI,,,no_url
54,CHARMOULA EGGPLANT,,,no_url
55,CHICKEN WITH FIERY PERI PERI SAUCE,,,no_url
56,PRAWN NACIONAL,,,no_url
58,THE GATSBY,,,no_url
59,KOTA,,,no_url
60,CALULU DE PEIXE,,,no_url
61,DOVI,,,no_url
64,BRAAIBROODJIE,,,no_url
65,ZANZIBAR PIZZA,,,no_url
66,SWEET POTATO FRITTERS,,,no_url
127,Moroccan-style roasted veg,assets/photos/127.jpg,https://www.bbc.co.uk/food/recipes/5-ingredient_33925,ok
128,Akara black bean fritters with ata dindin,assets/photos/128.jpg,https://www.bbc.co.uk/food/recipes/akara_black_bean_08114,ok
129,"Beef, black-eyed bean and plantain hotpot",assets/photos/129.jpg,https://www.bbc.co.uk/food/recipes/beef_black-eyed-bean_and_85011,ok
131,Cape Malay-style braised chicken curry,assets/photos/131.jpg,https://www.bbc.co.uk/food/recipes/cape_malay-style_braised_02015,ok
132,Chicken bastilla with orange salad,assets/photos/132.jpg,https://www.bbc.co.uk/food/recipes/chicken_bastilla_with_27181,ok
133,Chicken yassa,assets/photos/133.jpg,https://www.bbc.co.uk/food/recipes/chicken_yassa_20973,ok
134,"Ekuru, stewed greens and crispy cod cheeks",assets/photos/134.jpg,https://www.bbc.co.uk/food/recipes/ekuru_stewed_greens_and_67084,ok
135,Grilled pork chops with blatjang and radishes,assets/photos/135.jpg,https://www.bbc.co.uk/food/recipes/grilled_pork_chops_with_74983,ok
136,Jollof Quorn pilau with salted cucumber,assets/photos/136.jpg,https://www.bbc.co.uk/food/recipes/jollof_quorn_pilau_with_33526,ok
137,Jollof rice balls with Scotch bonnet sauce,assets/photos/137.jpg,https://www.bbc.co.uk/food/recipes/jollof_rice_balls_with_03838,ok
138,Lamb and apricot Cape Malay curry,assets/photos/138.jpg,https://www.bbc.co.uk/food/recipes/lamb_and_apricot_cape_72967,ok
140,Nigerian stew and cauliflower fried âriceâ,assets/photos/140.jpg,https://www.bbc.co.uk/food/recipes/nigerian_stew_and_13543,ok
141,Piri-piri chicken and slaw,assets/photos/141.jpg,https://www.bbc.co.uk/food/recipes/piri-piri_chicken_and_21433,ok
142,Pork with monkey gland sauce,assets/photos/142.jpg,https://www.bbc.co.uk/food/recipes/pork_monkey_gland_sauce_52929,ok
143,Quraac,assets/photos/143.jpg,https://www.bbc.co.uk/food/recipes/quraac_78934,ok
144,Red-red stew with spiced plantain,assets/photos/144.jpg,https://www.bbc.co.uk/food/recipes/red-red_stew_with_spiced_28798,ok
145,South African-inspired sausage rolls,,https://www.bbc.co.uk/food/recipes/sausage_rolls_97331,error: 404 Client Error: Not Found for url: https://www.bbc.co.uk/food/recipes/sausage_rolls_97331
146,Suya beef fillet burger,assets/photos/146.jpg,https://www.bbc.co.uk/food/recipes/suya_fillet_burger_with_59824,ok
147,Sweet potato shakshuka with sriracha butter,assets/photos/147.jpg,https://www.bbc.co.uk/food/recipes/sweet_potato_shakshuka_33464,ok
148,Ugandan rolex,assets/photos/148.jpg,https://www.bbc.co.uk/food/recipes/ugandan_rolex_11861,ok
149,Zoeâs jollof,assets/photos/149.jpg,https://www.bbc.co.uk/food/recipes/zoes_jollof_43216,ok
150,Kicha,,,no_url
151,Zebhi Hamli,,,no_url
152,Shiro,,,no_url
153,Shahan Ful,,,no_url
154,Doro Wat,,,no_url
155,Buna,,,no_url
156,Sabaayad,,,no_url
157,Canjeero,,,no_url
158,Suugo Suqaar,,,no_url
159,Shaah Cadays,,,no_url
161,Mukimo,,,no_url
163,Basboosa,,,no_url
164,Ndizi Kaanga,,,no_url
165,Matoke with Steamed Spinach,,,no_url
166,Harees with Chicken,,,no_url
167,Coril de Peix com Coco,,,no_url
168,Xima,,,no_url
169,Prego Rolls,,,no_url
170,Bolo Polana,,,no_url
171,Denningvleis,,,no_url
172,Chakalaka and Cheddar Braaibroodjies,,,no_url
173,Imifino,,,no_url
174,Lasary Legioma,,,no_url
175,Akoho Misy Sakamalao,,,no_url
176,Katilesy,,,no_url
177,Kadaka Akondro,,,no_url
178,Mofo Akondro,,,no_url
179,Ambrevades au Curry,,,no_url
180,Roti ya Houma Pampa,,,no_url
181,Roho,,,no_url
182,African Fish Rolls,assets/photos/182.jpg,https://cheflolaskitchen.com/african-fish-pastry/,ok
183,African Masa Recipe,assets/photos/183.jpg,https://cheflolaskitchen.com/african-masa-recipe-hausa-masa/,ok
184,Nigerian Pancakes,assets/photos/184.jpg,https://cheflolaskitchen.com/african-pancakes/,ok
185,African Spaghetti Sauce with Meatballs,assets/photos/185.jpg,https://cheflolaskitchen.com/african-spaghetti-sauce-with-meatballs/,ok
186,Nigerian Beef Stew (African Stew Recipe),assets/photos/186.jpg,https://cheflolaskitchen.com/african-stew/,ok
187,Authentic Nigerian Coconut Rice,assets/photos/187.jpg,https://cheflolaskitchen.com/african-style-coconut-rice/,ok
188,Amala - Nigerian Food,assets/photos/188.jpg,https://cheflolaskitchen.com/amala-recipe/,ok
189,Basmati Jollof Rice recipe (The Party style with Beef),assets/photos/189.jpg,https://cheflolaskitchen.com/basmati-jollof-rice-recipe/,ok
190,Ethiopian Berbere Spice,assets/photos/190.jpg,https://cheflolaskitchen.com/berbere-spice/,ok
191,One Pot Black Eyed Peas And Beef,assets/photos/191.jpg,https://cheflolaskitchen.com/black-eyed-peas-and-beef/,ok
192,Chakalaka | South African Food,assets/photos/192.jpg,https://cheflolaskitchen.com/chakalaka/,ok
193,Chicken Samosas Recipe,assets/photos/193.jpg,https://cheflolaskitchen.com/chicken-samosa/,ok
194,Coconut Fried Rice With Extra veggies,assets/photos/194.jpg,https://cheflolaskitchen.com/coconut-fried-rice/,ok
195,Creamy Fonio Breakfast Porridge (Acha Porridge),assets/photos/195.jpg,https://cheflolaskitchen.com/creamy-fonio-porridge/,ok
196,Simple and Creamy Polenta Recipe,assets/photos/196.jpg,https://cheflolaskitchen.com/creamy-polenta-recipe/,ok
197,Crispy Yuca Fries - Oven-baked or Deep fried,assets/photos/197.jpg,https://cheflolaskitchen.com/crispy-yuca-fries/,ok
198,Delicious Homemade Sweet Potato Pie,assets/photos/198.jpg,https://cheflolaskitchen.com/delicious-homemade-sweet-potato-pie/,ok
199,Easy African Chicken Peanut Soup,assets/photos/199.jpg,https://cheflolaskitchen.com/easy-chicken-peanut-soup/,ok
200,Eggless Nigerian Buns,assets/photos/200.jpg,https://cheflolaskitchen.com/eggless-nigerian-buns/,ok
201,Fried Plantains - Sweet and Savory Delicacy,assets/photos/201.jpg,https://cheflolaskitchen.com/fried-plantains/,ok
202,Gbegiri Soup - Delicious West African Bean Soup,assets/photos/202.jpg,https://cheflolaskitchen.com/gbegiri-soup/,ok
203,Easy Grilled Corn on the Cob Recipe,assets/photos/203.jpg,https://cheflolaskitchen.com/grilled-corn-on-the-cob/,ok
205,Harissa Chicken Wings,assets/photos/205.jpg,https://cheflolaskitchen.com/harissa-chicken/,ok
206,How To Cook a Super Juicy Turkey - Dry Brined,assets/photos/206.jpg,https://cheflolaskitchen.com/how-to-cook-a-super-juicy-turkey/,ok
207,Eba - Nigerian Food,assets/photos/207.jpg,https://cheflolaskitchen.com/how-to-make-eba/,ok
208,Ikokore - Water Yam Pottage,assets/photos/208.jpg,https://cheflolaskitchen.com/ikokore/,ok
209,Indulgent Homemade Pumpkin Pie,assets/photos/209.jpg,https://cheflolaskitchen.com/indulgent-homemade-pumpkin-pie/,ok
210,Jollof Spaghetti,assets/photos/210.jpg,https://cheflolaskitchen.com/jollof-spaghetti-recipe/,ok
211,Ewedu - Jute Leaves Soup,assets/photos/211.jpg,https://cheflolaskitchen.com/jute-leaves-soup-ewedu-mulukhiyah-or-molokhia/,ok
212,How to make Moin Moin/Moi Moi,assets/photos/212.jpg,https://cheflolaskitchen.com/make-moin-moin-moi-moi/,ok
