fdc_id,g_per_ml,source_portion
2705383,1.025,1 cup
2705384,1.0167,1 cup
2705385,1.0167,1 cup
2705386,1.0167,1 cup
2705387,1.0167,1 cup
2705388,1.0167,1 cup
2705389,1.0167,1 cup
2705390,1.0167,1 cup
2705391,1.0167,1 cup
2705392,1.0167,1 cup
2705393,1.0167,1 cup
2705394,1.0167,1 cup
2705395,1.0167,1 cup
2705396,1.0167,1 cup
2705397,1.0167,1 cup
2705398,1.05,1 cup
2705399,1.05,1 cup
2705400,1.05,1 cup
2705401,1.05,1 cup
2705402,1.2667,1 cup
2705403,1.0167,1 cup
2705404,1.0167,1 cup
2705405,1.0167,1 cup
2705406,1.0167,1 cup
2705407,1.0167,1 cup
2705408,1.0167,1 cup
2705409,1.0167,1 cup
2705410,1.0167,1 cup
2705411,1.0167,1 cup
2705412,1.0167,1 cup
2705413,1.0167,1 cup
2705414,1.0208,1 cup
2705415,1.0208,1 cup
2705416,1.0208,1 cup
2705417,1.0208,1 cup
2705418,1.0208,1 cup
2705419,1.0208,1 cup
2705420,1.0208,1 cup
2705421,1.0208,1 cup
2705422,1.0208,1 cup
2705423,1.0208,1 cup
2705424,1.0208,1 cup
2705425,1.0208,1 cup
2705426,1.0208,1 cup
2705427,1.0208,1 cup
2705428,1.0208,1 cup
2705429,1.0208,1 cup
2705430,1.0208,1 cup
2705431,1.0208,1 cup
2705432,1.0208,1 cup
2705433,1.0208,1 cup
2705434,1.0208,1 cup
2705435,1.0208,1 cup
2705436,1.0208,1 cup
2705437,1.0208,1 cup
2705438,1.0208,1 cup
2705439,1.0208,1 cup
2705440,1.0208,1 cup
2705441,1.0208,1 cup
2705442,1.0208,1 cup
2705444,1.0,1 tablespoon
2705445,1.0,1 tablespoon
2705446,1.0,1 tablespoon
2705447,1.0,1 tablespoon
2705448,1.0,1 tablespoon
2705449,1.0,1 tablespoon
2705451,0.7292,1 cup
2705452,0.7292,1 cup
2705453,0.7292,1 cup
2705454,0.7292,1 cup
2705455,0.7292,1 cup
2705463,1.0,1 tablespoon
2705464,1.0,1 tablespoon
2705465,1.0,1 tablespoon
2705466,1.0333,1 cup
2705467,1.0333,1 cup
2705468,1.0333,1 cup
2705469,1.0333,1 cup
2705470,1.0333,1 cup
2705471,1.0333,1 cup
2705472,1.0333,1 cup
2705473,1.0333,1 cup
2705474,1.0333,1 cup
2705475,1.0333,1 cup
2705476,1.0333,1 cup
2705477,1.0333,1 cup
2705478,1.0333,1 cup
2705479,1.0333,1 cup
2705480,1.0333,1 cup
2705481,1.0333,1 cup
2705482,1.0333,1 cup
2705483,1.0333,1 cup
2705484,1.0333,1 cup
2705485,1.0333,1 cup
2705486,1.0333,1 cup
2705487,1.0333,1 cup
2705488,1.0333,1 cup
2705489,1.0333,1 cup
2705490,1.0333,1 cup
2705491,1.0333,1 cup
2705492,1.0333,1 cup
2705493,1.0333,1 cup
2705494,1.0333,1 cup
2705495,1.0333,1 cup
2705496,1.0333,1 cup
2705497,1.0333,1 cup
2705498,1.0333,1 cup
2705499,1.0333,1 cup
2705500,1.0333,1 cup
2705501,1.0667,1 cup
2705502,1.0667,1 cup
2705503,0.9333,1 cup
2705504,0.9333,1 cup
2705505,0.9333,1 cup
2705506,0.9333,1 cup
2705507,0.9468,1 fl oz
2705508,0.9333,1 cup
2705509,0.9333,1 cup
2705510,1.0333,1 cup
2705511,1.0333,1 cup
2705512,0.9,1 cup
2705513,0.9,1 cup
2705514,0.9,1 cup
2705515,0.9,1 cup
2705516,0.9,1 cup
2705517,1.0333,1 cup
2705518,1.0313,1 fl oz
2705519,1.0313,1 fl oz
2705520,1.0313,1 fl oz
2705521,1.0313,1 fl oz
2705522,1.0313,1 fl oz
2705523,1.0313,1 fl oz
2705524,1.0313,1 fl oz
2705525,1.0313,1 fl oz
2705526,1.0313,1 fl oz
2705527,1.0313,1 fl oz
2705528,1.0313,1 fl oz
2705529,1.0313,1 fl oz
2705530,1.0313,1 fl oz
2705531,1.0313,1 fl oz
2705532,1.0313,1 fl oz
2705533,1.0313,1 fl oz
2705534,1.0313,1 fl oz
2705535,1.0313,1 fl oz
2705536,1.0313,1 fl oz
2705537,1.0313,1 fl oz
