recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
1,397,1,1,30 ml,2 tablespoon
1,34,2,1,211 g,1 cup
1,613,3,1,480 ml,2 cups
1,92,4,1,201 g,1 cup
1,626,5,1,480 ml,2 cups
1,251,6,1,,1 clove
1,197,7,1,,1 teaspoon
1,35,8,1,,
1,522,9,1,10 g,2 teaspoon
1,215,10,1,232 g,2 cups
1,399,12,1,,1 large
1,251,13,1,,2 cloves
1,597,14,1,16-oz [448-g],1 can
1,474,15,1,2 g,2 teaspoon
1,525,16,1,,
1,501,17,1,,1 teaspoon
1,504,18,1,15 ml,1 tablespoon
1,616,19,1,,
1,399,20,1,,2 large
1,150,21,1,15-oz [420-g],1 can
2,514,1,1,,5 medium
2,489,2,1,,1 large
2,533,3,1,,2 small
2,277,4,1,60 ml,? cup
2,399,5,1,,1 medium
2,598,6,1,48 g,3 tablespoon
2,134,7,1,600 ml,
2,522,8,1,,1 teaspoon
2,202,9,1,,? teaspoon
2,591,10,1,,? teaspoon
2,15,11,1,,1 teaspoon
2,44,12,1,,
2,507,13,1,,2 cups
2,36,14,1,,
3,135,1,1,1.4 kg,
3,591,2,1,3 g,1 tablespoon
3,253,3,1,,1 teaspoon
3,133,4,1,,
3,526,5,1,,
3,615,6,1,360 ml,
3,514,7,1,,4 medium
3,438,8,1,28-oz [784-g],1 can
3,489,9,1,,1 large
3,280,10,1,,2 small
3,399,11,1,,1 medium
3,598,12,1,32 g,2 tablespoon
3,134,13,1,240 ml,1 cup
3,591,14,1,2 g,
3,388,15,1,8 g,1 tablespoon
3,15,16,1,,1 teaspoon
3,35,18,1,,
4,140,1,1,680 g,
4,522,2,1,15 g,1 tablespoon
4,63,3,1,,1 teaspoon
4,399,4,1,,1 small
4,625,5,1,720 ml,3 cups
4,615,6,1,60 ml,? cup
4,597,7,1,,2 medium
4,399,8,1,,1 medium
4,254,9,1,,
4,414,10,1,6 to 9 g,
4,411,11,1,,1 teaspoon
4,127,12,1,8 g,1 tablespoon
4,639,13,1,,? teaspoon
4,519,14,1,340 g,
4,120,15,1,113 g,
4,556,16,1,90 g,? cup
4,280,17,1,,1 small
5,49,1,1,680 g,
5,526,2,1,,
5,591,3,1,3 g,1 tablespoon
5,399,4,1,,1 small
5,625,5,1,240 ml,1 cup
5,40,6,1,1.4 L,6 cups
5,212,7,1,600 g,4 cups
5,399,8,1,,1 large
5,282,9,1,,2 small
5,409,10,1,180 ml,? cup
5,58,11,1,85 g,4 tablespoon
5,562,12,1,180 g,6 cups
5,191,13,1,18 g,3 tablespoon
5,387,14,1,8 g,1 tablespoon
5,245,15,1,,
6,85,1,1,,
6,142,2,1,,
6,399,3,1,460 g,4 cups
6,333,4,1,80 ml,
6,522,5,1,,1 teaspoon
6,63,6,1,,? teaspoon
6,281,7,1,,1 small
6,423,8,1,23 ml,
6,134,9,1,360 g,
6,430,10,1,75 g,? cup
6,625,11,1,120 ml,? cup
6,205,12,1,16 g,1 tablespoon
6,508,13,1,,
7,616,1,1,,
7,17,2,1,43 g,? cup
7,128,3,1,16 g,2 tablespoon
7,411,4,1,6 g,2 teaspoon
7,253,5,1,8 g,1 tablespoon
7,400,6,1,8 g,1 tablespoon
7,639,7,1,8 g,1 tablespoon
7,133,8,1,,
7,522,9,1,,
7,551,10,1,900 g,
8,71,2,1,303 g,2 cups
8,625,3,1,960 ml,4 cups
8,409,4,1,180 ml,? cup
8,191,5,1,18 g,3 tablespoon
8,280,6,1,,1 small
8,42,7,1,,
8,512,8,1,6-mm,1 large
8,593,9,1,60 g,2 cups
8,522,10,1,,
9,511,1,1,,2 large
9,615,2,1,60 ml,? cup
9,399,3,1,,1 medium
9,280,4,1,,1 small
9,51,5,1,any color,1 large
9,597,6,1,,1 small
9,251,7,1,,1 teaspoon
9,209,8,1,,6 large
9,159,9,1,10 g,? cup
9,364,10,1,30 ml,2 tablespoon
9,412,11,1,,1 teaspoon
9,591,12,1,,1 teaspoon
10,615,1,1,30 ml,2 tablespoon
10,399,2,1,,1 medium
10,280,3,1,,1 small
10,514,4,1,,1 large
10,186,5,1,12-oz [336-g],2 cans
10,562,6,1,900 g,
10,387,7,1,8 g,1 tablespoon
10,253,8,1,6 g,2 teaspoon
10,400,9,1,,1 teaspoon
10,133,10,1,,
10,15,11,1,8 g,1 tablespoon
10,75,12,1,,
10,74,13,1,,
11,595,1,1,,
11,522,2,1,10 g,2 teaspoon
11,63,3,1,6 g,2 teaspoon
11,331,4,1,,2 medium
11,5,5,1,6 g,2 teaspoon
11,572,6,1,5 g,2 teaspoon
11,159,7,1,,? cup
11,260,8,1,1-inch [5-cm],
11,251,9,1,,10 cloves
11,411,10,1,,1 teaspoon
11,133,11,1,,
