recipe_id,ingredient_id,ingredient_index,qty_value,unit,portion_factor,ingredient_line_raw,parse_status,review_reason
1,397,1,,,1.0,2 tbsp (30 ml) olive oil,ok,
1,34,2,,,1.0,1 cup (211 g) basmati rice,ok,
1,613,3,,,1.0,2 cups (480 ml) vegetable stock,ok,
1,92,4,,,1.0,1 cup (201 g) brown lentils,ok,
1,626,5,,,1.0,"2 cups (480 ml) water, plus more as needed",ok,
1,251,6,,,1.0,1 clove garlic,ok,
1,197,7,,,1.0,1 tsp ground cumin,ok,
1,35,8,,,1.0,1 bay leaf,ok,
1,522,9,,,1.0,2 tsp (10 g) salt,ok,
1,215,10,,,1.0,2 cups (232 g) elbow macaroni,ok,
1,399,12,,,1.0,"1 large onion, finely chopped",ok,
1,251,13,,,1.0,"2 cloves garlic, minced",ok,
1,597,14,,,1.0,1 (16-oz [448-g]) can diced tomatoes,ok,
1,474,15,,,1.0,2 tsp (2 g) Ras El Hanout,ok,
1,525,16,,,1.0,"Salt and black pepper, to taste",review,mixed_seasoning;contains_conjunction
1,501,17,,,1.0,¼ tsp crushed red pepper flakes,ok,
1,504,18,,,1.0,1 tbsp (15 ml) red wine vinegar,ok,
1,616,19,,,1.0,"Vegetable oil, as needed",ok,
1,399,20,,,1.0,"2 large onions, thinly sliced",ok,
1,150,21,,,1.0,"1 (15-oz [420-g]) can chickpeas, drained and rinsed",review,contains_conjunction
2,514,1,,,1.0,"5 medium Roma tomatoes, roughly chopped",ok,
2,489,2,,,1.0,"1 large red bell pepper, roughly chopped",ok,
2,533,3,,,1.0,2 small Scotch bonnet chiles or habanero chiles,review,long_base_phrase;contains_conjunction
2,277,4,,,1.0,¼ cup (60 ml) groundnut oil or vegetable oil,review,contains_conjunction
2,399,5,,,1.0,"1 medium onion, roughly chopped",ok,
2,598,6,,,1.0,3 tbsp (48 g) tomato paste,ok,
2,134,7,,,1.0,2½ cups (600 ml) chicken stock,ok,
2,522,8,,,1.0,1 tsp salt,ok,
2,202,9,,,1.0,½ tsp curry powder,ok,
2,591,10,,,1.0,½ tsp dried thyme,ok,
2,15,11,,,1.0,1 tsp all-purpose seasoning,ok,
2,44,12,,,1.0,"1 beef, chicken or vegetable bouillon cube",review,contains_conjunction
2,507,13,,,1.0,"2 cups parboiled rice, rinsed",ok,
